,Elecciones,Sección,cod_ccaa,cod_prov,cod_mun,cod_sec,CCAA,Provincia,Municipio,Distrito,Censo_Esc,Votos_Total,Participación,Nulos,Votos_Válidos,Blanco,V_Cand,PP,PSOE,Cs,UP,IU,VOX,UPyD,MP,CiU,ERC,JxC,CUP,DiL,PNV,Bildu,Amaiur,CC,FA,TE,BNG,PRC,GBai,Compromis,PACMA,Otros,% PP,% PSOE,% UP,% VOX,% Cs,% IU,Ganador,Segundo,Tercero,Cuarto,Quinto,Población Total,Hombres,Mujeres,% mayores 65 años,% 20-64 años,% menores 19 años,Afiliados SS Minicipio,% Afiliados SS autónomos,% Afiliados SS / Población,Paro Registrado Municipio,% Paro Hombres,% Paro mayores 45,% Paro s/ Afiliados SS Municipio,Renta persona 2017,Renta persona 2015,Renta hogar 2017,Renta hogar 2015,Renta Salarios 2018,Renta Salarios 2015,Renta Pensiones 2018,Renta Pensiones 2015,Renta Desempleo 2018,Renta Desempleo 2015,metadata_vectorial,contexto
121456,Diciembre 2015,022015121080504703002,08,05,05047,0504703002,Castilla y León,Ávila,Candeleda,03,1592,1280,0.8040201,14,1266,1,1265,459,441,175,161,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.36255923,0.34834123,0.1271722,0.0007898894,0.13823065,0.016587678,PP,PSOE,Cs,UP,IU,1944,984,960,0.22890946,0.6111111,0.15997942,1355.0,0.3793358,0.6970165,671.0,0.52011925,0.5067064,0.33119446,7999.0,7306.0,18776.0,17395.0,4559.0,3894.0,2904.0,2515.0,300.0,345.0,"elecciones: Diciembre 2015. municipio: Candeleda. provincia: Ávila. elecciones: Diciembre 2015. municipio: Candeleda. provincia: Ávila. elecciones: Diciembre 2015. municipio: Candeleda. elecciones: Diciembre 2015. Resultados electorales de Diciembre 2015 en la sección 0504703002 del distrito 03 en el municipio de Candeleda de la provincia Ávila. La participación electoral fue del 80.4%. El partido más votado fue el PP, el segundo fue el PSOE, el tercero fue el Cs, el cuarto fue el UP, y el quinto fue el IU .Contexto socioeconómico: Renta media por persona de 7999.0 euros, con un porcentaje de afiliados a la Seguridad Social respecto a la población del 69.70%. Contexto demográfico: La sección tiene un porcentaje de mayores de 65 años del 22.9%, y un porcentaje de menores de 19 años del 16.0%. Perfil de voto: PP(36.26%), PSOE(34.83%), VOX(0.08%), Cs(13.82%), IU(1.66%), UP(12.72%).","Resultados electorales de Diciembre 2015 en la sección 0504703002 del distrito 03 en el municipio de Candeleda de la provincia Ávila. La participación electoral fue del 80.4%. El partido más votado fue el PP, el segundo fue el PSOE, el tercero fue el Cs, el cuarto fue el UP, y el quinto fue el IU . Contexto socioeconómico: Renta media por persona de 7999.0 euros, con un porcentaje de afiliados a la Seguridad Social respecto a la población del 69.70%. Contexto demográfico: La sección tiene un porcentaje de mayores de 65 años del 22.9%, y un porcentaje de menores de 19 años del 16.0%. Perfil de voto: PP(36.26%), PSOE(34.83%), VOX(0.08%), Cs(13.82%), IU(1.66%), UP(12.72%)."
160660,Junio 2016,022016061084718609012,08,47,47186,4718609012,Castilla y León,Valladolid,Valladolid,09,809,626,0.77379483,2,624,1,623,297,133,80,93,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0.47596154,0.21314102,0.14903846,0.009615385,0.12820514,0.0,PP,PSOE,UP,Cs,Otros,945,408,537,0.37460318,0.5216931,0.1037037,135615.0,0.12726468,143.50793,28830.0,0.43909124,0.5052376,0.17531697,13230.0,12946.0,31453.0,28296.0,9394.0,7623.0,4370.0,4765.0,209.0,233.0,"elecciones: Junio 2016. municipio: Valladolid. provincia: Valladolid. elecciones: Junio 2016. municipio: Valladolid. provincia: Valladolid. elecciones: Junio 2016. municipio: Valladolid. elecciones: Junio 2016. Resultados electorales de Junio 2016 en la sección 4718609012 del distrito 09 en el municipio de Valladolid de la provincia Valladolid. La participación electoral fue del 77.4%. El partido más votado fue el PP, el segundo fue el PSOE, el tercero fue el UP, el cuarto fue el Cs, y el quinto fue el Otros .Contexto socioeconómico: Renta media por persona de 13230.0 euros, con un porcentaje de afiliados a la Seguridad Social respecto a la población del 14350.79%. Contexto demográfico: La sección tiene un porcentaje de mayores de 65 años del 37.5%, y un porcentaje de menores de 19 años del 10.4%. Perfil de voto: PP(47.60%), PSOE(21.31%), VOX(0.96%), Cs(12.82%), IU(0.00%), UP(14.90%).","Resultados electorales de Junio 2016 en la sección 4718609012 del distrito 09 en el municipio de Valladolid de la provincia Valladolid. La participación electoral fue del 77.4%. El partido más votado fue el PP, el segundo fue el PSOE, el tercero fue el UP, el cuarto fue el Cs, y el quinto fue el Otros . Contexto socioeconómico: Renta media por persona de 13230.0 euros, con un porcentaje de afiliados a la Seguridad Social respecto a la población del 14350.79%. Contexto demográfico: La sección tiene un porcentaje de mayores de 65 años del 37.5%, y un porcentaje de menores de 19 años del 10.4%. Perfil de voto: PP(47.60%), PSOE(21.31%), VOX(0.96%), Cs(12.82%), IU(0.00%), UP(14.90%)."
91475,Noviembre 2011,022011111090821107003,09,08,08211,0821107003,Cataluña,Barcelona,Sant Feliu De Llobregat,07,813,603,0.74169743,6,597,9,588,156,127,0,0,50,0,18,0,178,34,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0.26130652,0.21273032,0.0,0.0,0.0,0.083752096,CiU,PP,PSOE,IU,ERC,1288,613,675,0.041925468,0.6164596,0.3416149,10726.0,0.23969793,8.32764,4575.0,0.51409835,0.4168306,0.29900005,15583.0,14401.0,49279.0,45960.0,15261.0,13627.0,1513.0,1293.0,199.0,317.0,"elecciones: Noviembre 2011. municipio: Sant Feliu De Llobregat. provincia: Barcelona. elecciones: Noviembre 2011. municipio: Sant Feliu De Llobregat. provincia: Barcelona. elecciones: Noviembre 2011. municipio: Sant Feliu De Llobregat. elecciones: Noviembre 2011. Resultados electorales de Noviembre 2011 en la sección 0821107003 del distrito 07 en el municipio de Sant Feliu De Llobregat de la provincia Barcelona. La participación electoral fue del 74.2%. El partido más votado fue el CiU, el segundo fue el PP, el tercero fue el PSOE, el cuarto fue el IU, y el quinto fue el ERC .Contexto socioeconómico: Renta media por persona de 15583.0 euros, con un porcentaje de afiliados a la Seguridad Social respecto a la población del 832.76%. Contexto demográfico: La sección tiene un porcentaje de mayores de 65 años del 4.2%, y un porcentaje de menores de 19 años del 34.2%. Perfil de voto: PP(26.13%), PSOE(21.27%), VOX(0.00%), Cs(0.00%), IU(8.38%), UP(0.00%).","Resultados electorales de Noviembre 2011 en la sección 0821107003 del distrito 07 en el municipio de Sant Feliu De Llobregat de la provincia Barcelona. La participación electoral fue del 74.2%. El partido más votado fue el CiU, el segundo fue el PP, el tercero fue el PSOE, el cuarto fue el IU, y el quinto fue el ERC . Contexto socioeconómico: Renta media por persona de 15583.0 euros, con un porcentaje de afiliados a la Seguridad Social respecto a la población del 832.76%. Contexto demográfico: La sección tiene un porcentaje de mayores de 65 años del 4.2%, y un porcentaje de menores de 19 años del 34.2%. Perfil de voto: PP(26.13%), PSOE(21.27%), VOX(0.00%), Cs(0.00%), IU(8.38%), UP(0.00%)."
144057,Diciembre 2015,022015121174623201001,17,46,46232,4623201001,C. Valenciana,Valencia,Sinarcas,01,894,715,0.7997763,3,712,5,707,241,270,66,98,18,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.33848315,0.37921348,0.13764045,0.0,0.09269663,0.025280898,PSOE,PP,UP,Cs,IU,1168,595,573,0.25342464,0.59246576,0.15410958,337.0,0.37388724,0.2885274,109.0,0.5045872,0.51376146,0.24439462,9412.0,9216.0,22926.0,21979.0,6253.0,5423.0,2657.0,2584.0,267.0,231.0,"elecciones: Diciembre 2015. municipio: Sinarcas. provincia: Valencia. elecciones: Diciembre 2015. municipio: Sinarcas. provincia: Valencia. elecciones: Diciembre 2015. municipio: Sinarcas. elecciones: Diciembre 2015. Resultados electorales de Diciembre 2015 en la sección 4623201001 del distrito 01 en el municipio de Sinarcas de la provincia Valencia. La participación electoral fue del 80.0%. El partido más votado fue el PSOE, el segundo fue el PP, el tercero fue el UP, el cuarto fue el Cs, y el quinto fue el IU .Contexto socioeconómico: Renta media por persona de 9412.0 euros, con un porcentaje de afiliados a la Seguridad Social respecto a la población del 28.85%. Contexto demográfico: La sección tiene un porcentaje de mayores de 65 años del 25.3%, y un porcentaje de menores de 19 años del 15.4%. Perfil de voto: PP(33.85%), PSOE(37.92%), VOX(0.00%), Cs(9.27%), IU(2.53%), UP(13.76%).","Resultados electorales de Diciembre 2015 en la sección 4623201001 del distrito 01 en el municipio de Sinarcas de la provincia Valencia. La participación electoral fue del 80.0%. El partido más votado fue el PSOE, el segundo fue el PP, el tercero fue el UP, el cuarto fue el Cs, y el quinto fue el IU . Contexto socioeconómico: Renta media por persona de 9412.0 euros, con un porcentaje de afiliados a la Seguridad Social respecto a la población del 28.85%. Contexto demográfico: La sección tiene un porcentaje de mayores de 65 años del 25.3%, y un porcentaje de menores de 19 años del 15.4%. Perfil de voto: PP(33.85%), PSOE(37.92%), VOX(0.00%), Cs(9.27%), IU(2.53%), UP(13.76%)."
155545,Junio 2016,022016061063908001003,06,39,39080,3908001003,Cantabria,Cantabria,San Vicente De La Barquera,01,816,583,0.7144608,6,577,3,574,244,184,56,80,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0.42287695,0.3188908,0.13864818,0.0017331023,0.09705373,0.0,PP,PSOE,UP,Cs,PACMA,954,474,480,0.26939204,0.6132075,0.11740042,1452.0,0.3278237,1.5220126,386.0,0.47409326,0.4611399,0.21001089,10726.0,9797.0,24088.0,22941.0,6084.0,4913.0,4329.0,3428.0,289.0,371.0,"elecciones: Junio 2016. municipio: San Vicente De La Barquera. provincia: Cantabria. elecciones: Junio 2016. municipio: San Vicente De La Barquera. provincia: Cantabria. elecciones: Junio 2016. municipio: San Vicente De La Barquera. elecciones: Junio 2016. Resultados electorales de Junio 2016 en la sección 3908001003 del distrito 01 en el municipio de San Vicente De La Barquera de la provincia Cantabria. La participación electoral fue del 71.4%. El partido más votado fue el PP, el segundo fue el PSOE, el tercero fue el UP, el cuarto fue el Cs, y el quinto fue el PACMA .Contexto socioeconómico: Renta media por persona de 10726.0 euros, con un porcentaje de afiliados a la Seguridad Social respecto a la población del 152.20%. Contexto demográfico: La sección tiene un porcentaje de mayores de 65 años del 26.9%, y un porcentaje de menores de 19 años del 11.7%. Perfil de voto: PP(42.29%), PSOE(31.89%), VOX(0.17%), Cs(9.71%), IU(0.00%), UP(13.86%).","Resultados electorales de Junio 2016 en la sección 3908001003 del distrito 01 en el municipio de San Vicente De La Barquera de la provincia Cantabria. La participación electoral fue del 71.4%. El partido más votado fue el PP, el segundo fue el PSOE, el tercero fue el UP, el cuarto fue el Cs, y el quinto fue el PACMA . Contexto socioeconómico: Renta media por persona de 10726.0 euros, con un porcentaje de afiliados a la Seguridad Social respecto a la población del 152.20%. Contexto demográfico: La sección tiene un porcentaje de mayores de 65 años del 26.9%, y un porcentaje de menores de 19 años del 11.7%. Perfil de voto: PP(42.29%), PSOE(31.89%), VOX(0.17%), Cs(9.71%), IU(0.00%), UP(13.86%)."
87673,Noviembre 2011,022011111084214901001,08,42,42149,4214901001,Castilla y León,Soria,Los Rábanos,01,404,292,0.7227723,6,286,12,274,146,91,0,0,13,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.5104895,0.3181818,0.0,0.0,0.0,0.045454547,PP,PSOE,UPyD,IU,Otros,525,307,218,0.26666668,0.61333334,0.12,360.0,0.1,0.6857143,31.0,0.5483871,0.41935483,0.079283886,12796.0,12041.0,27773.0,27134.0,9166.0,8144.0,4170.0,3509.0,275.0,270.0,"elecciones: Noviembre 2011. municipio: Los Rábanos. provincia: Soria. elecciones: Noviembre 2011. municipio: Los Rábanos. provincia: Soria. elecciones: Noviembre 2011. municipio: Los Rábanos. elecciones: Noviembre 2011. Resultados electorales de Noviembre 2011 en la sección 4214901001 del distrito 01 en el municipio de Los Rábanos de la provincia Soria. La participación electoral fue del 72.3%. El partido más votado fue el PP, el segundo fue el PSOE, el tercero fue el UPyD, el cuarto fue el IU, y el quinto fue el Otros .Contexto socioeconómico: Renta media por persona de 12796.0 euros, con un porcentaje de afiliados a la Seguridad Social respecto a la población del 68.57%. Contexto demográfico: La sección tiene un porcentaje de mayores de 65 años del 26.7%, y un porcentaje de menores de 19 años del 12.0%. Perfil de voto: PP(51.05%), PSOE(31.82%), VOX(0.00%), Cs(0.00%), IU(4.55%), UP(0.00%).","Resultados electorales de Noviembre 2011 en la sección 4214901001 del distrito 01 en el municipio de Los Rábanos de la provincia Soria. La participación electoral fue del 72.3%. El partido más votado fue el PP, el segundo fue el PSOE, el tercero fue el UPyD, el cuarto fue el IU, y el quinto fue el Otros . Contexto socioeconómico: Renta media por persona de 12796.0 euros, con un porcentaje de afiliados a la Seguridad Social respecto a la población del 68.57%. Contexto demográfico: La sección tiene un porcentaje de mayores de 65 años del 26.7%, y un porcentaje de menores de 19 años del 12.0%. Perfil de voto: PP(51.05%), PSOE(31.82%), VOX(0.00%), Cs(0.00%), IU(4.55%), UP(0.00%)."
47955,Noviembre 2019,022019111071610101001,07,16,16101,1610101001,Castilla - La Mancha,Cuenca,El Hito,01,137,111,0.810219,2,109,1,108,26,53,4,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23853211,0.48623854,0.04587156,0.18348624,0.036697246,0.0,PSOE,PP,VOX,UP,Cs,141,77,64,0.5177305,0.44680852,0.035460994,22.0,0.54545456,0.15602838,11.0,0.45454547,0.72727275,0.33333334,10400.0,8896.0,20223.0,17791.0,4772.0,3634.0,5114.0,4375.0,195.0,132.0,"elecciones: Noviembre 2019. municipio: El Hito. provincia: Cuenca. elecciones: Noviembre 2019. municipio: El Hito. provincia: Cuenca. elecciones: Noviembre 2019. municipio: El Hito. elecciones: Noviembre 2019. Resultados electorales de Noviembre 2019 en la sección 1610101001 del distrito 01 en el municipio de El Hito de la provincia Cuenca. La participación electoral fue del 81.0%. El partido más votado fue el PSOE, el segundo fue el PP, el tercero fue el VOX, el cuarto fue el UP, y el quinto fue el Cs .Contexto socioeconómico: Renta media por persona de 10400.0 euros, con un porcentaje de afiliados a la Seguridad Social respecto a la población del 15.60%. Contexto demográfico: La sección tiene un porcentaje de mayores de 65 años del 51.8%, y un porcentaje de menores de 19 años del 3.5%. Perfil de voto: PP(23.85%), PSOE(48.62%), VOX(18.35%), Cs(3.67%), IU(0.00%), UP(4.59%).","Resultados electorales de Noviembre 2019 en la sección 1610101001 del distrito 01 en el municipio de El Hito de la provincia Cuenca. La participación electoral fue del 81.0%. El partido más votado fue el PSOE, el segundo fue el PP, el tercero fue el VOX, el cuarto fue el UP, y el quinto fue el Cs . Contexto socioeconómico: Renta media por persona de 10400.0 euros, con un porcentaje de afiliados a la Seguridad Social respecto a la población del 15.60%. Contexto demográfico: La sección tiene un porcentaje de mayores de 65 años del 51.8%, y un porcentaje de menores de 19 años del 3.5%. Perfil de voto: PP(23.85%), PSOE(48.62%), VOX(18.35%), Cs(3.67%), IU(0.00%), UP(4.59%)."
21042,Abril 2019,022019041094312303010,09,43,43123,4312303010,Cataluña,Tarragona,Reus,03,1044,751,0.71934867,9,742,2,740,54,241,134,84,0,59,0,0,0,102,29,0,0,0,0,0,0,0,0,0,0,0,0,20,17,0.07277628,0.32479784,0.11320755,0.079514824,0.180593,0.0,PSOE,Cs,ERC,UP,VOX,1629,820,809,0.17372622,0.60834867,0.2179251,41359.0,0.14420077,25.389196,8904.0,0.42127132,0.5086478,0.1771482,9159.0,8047.0,23717.0,21544.0,6574.0,5364.0,2631.0,2267.0,327.0,477.0,"elecciones: Abril 2019. municipio: Reus. provincia: Tarragona. elecciones: Abril 2019. municipio: Reus. provincia: Tarragona. elecciones: Abril 2019. municipio: Reus. elecciones: Abril 2019. Resultados electorales de Abril 2019 en la sección 4312303010 del distrito 03 en el municipio de Reus de la provincia Tarragona. La participación electoral fue del 71.9%. El partido más votado fue el PSOE, el segundo fue el Cs, el tercero fue el ERC, el cuarto fue el UP, y el quinto fue el VOX .Contexto socioeconómico: Renta media por persona de 9159.0 euros, con un porcentaje de afiliados a la Seguridad Social respecto a la población del 2538.92%. Contexto demográfico: La sección tiene un porcentaje de mayores de 65 años del 17.4%, y un porcentaje de menores de 19 años del 21.8%. Perfil de voto: PP(7.28%), PSOE(32.48%), VOX(7.95%), Cs(18.06%), IU(0.00%), UP(11.32%).","Resultados electorales de Abril 2019 en la sección 4312303010 del distrito 03 en el municipio de Reus de la provincia Tarragona. La participación electoral fue del 71.9%. El partido más votado fue el PSOE, el segundo fue el Cs, el tercero fue el ERC, el cuarto fue el UP, y el quinto fue el VOX . Contexto socioeconómico: Renta media por persona de 9159.0 euros, con un porcentaje de afiliados a la Seguridad Social respecto a la población del 2538.92%. Contexto demográfico: La sección tiene un porcentaje de mayores de 65 años del 17.4%, y un porcentaje de menores de 19 años del 21.8%. Perfil de voto: PP(7.28%), PSOE(32.48%), VOX(7.95%), Cs(18.06%), IU(0.00%), UP(11.32%)."
29223,Abril 2019,022019041133120103007,13,31,31201,3120103007,Navarra,Navarra,Pamplona / Iruña,03,956,822,0.85983264,4,818,4,814,501,109,0,80,0,46,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,33,0,3,5,0.61246943,0.13325183,0.09779951,0.056234717,0.0,0.0,PP,PSOE,UP,VOX,Bildu,1184,536,648,0.3471284,0.47635135,0.17652027,104970.0,0.11505192,88.6571,14635.0,0.4034848,0.5038606,0.12236111,13216.0,20578.0,33883.0,56041.0,8314.101,7306.836,3178.3896,2940.9631,289.49832,346.34842,"elecciones: Abril 2019. municipio: Pamplona / Iruña. provincia: Navarra. elecciones: Abril 2019. municipio: Pamplona / Iruña. provincia: Navarra. elecciones: Abril 2019. municipio: Pamplona / Iruña. elecciones: Abril 2019. Resultados electorales de Abril 2019 en la sección 3120103007 del distrito 03 en el municipio de Pamplona / Iruña de la provincia Navarra. La participación electoral fue del 86.0%. El partido más votado fue el PP, el segundo fue el PSOE, el tercero fue el UP, el cuarto fue el VOX, y el quinto fue el Bildu .Contexto socioeconómico: Renta media por persona de 13216.0 euros, con un porcentaje de afiliados a la Seguridad Social respecto a la población del 8865.71%. Contexto demográfico: La sección tiene un porcentaje de mayores de 65 años del 34.7%, y un porcentaje de menores de 19 años del 17.7%. Perfil de voto: PP(61.25%), PSOE(13.33%), VOX(5.62%), Cs(0.00%), IU(0.00%), UP(9.78%).","Resultados electorales de Abril 2019 en la sección 3120103007 del distrito 03 en el municipio de Pamplona / Iruña de la provincia Navarra. La participación electoral fue del 86.0%. El partido más votado fue el PP, el segundo fue el PSOE, el tercero fue el UP, el cuarto fue el VOX, y el quinto fue el Bildu . Contexto socioeconómico: Renta media por persona de 13216.0 euros, con un porcentaje de afiliados a la Seguridad Social respecto a la población del 8865.71%. Contexto demográfico: La sección tiene un porcentaje de mayores de 65 años del 34.7%, y un porcentaje de menores de 19 años del 17.7%. Perfil de voto: PP(61.25%), PSOE(13.33%), VOX(5.62%), Cs(0.00%), IU(0.00%), UP(9.78%)."
146495,Junio 2016,022016061011402106023,01,14,14021,1402106023,Andalucía,Córdoba,Córdoba,06,675,578,0.8562963,1,577,3,574,414,43,58,53,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.7175043,0.0745234,0.091854416,0.0034662045,0.10051993,0.0,PP,Cs,UP,PSOE,PACMA,802,393,409,0.2693267,0.56234413,0.16832918,119439.0,0.15505823,148.92644,48837.0,0.43587855,0.47982064,0.29021963,20207.0,18303.0,67747.0,64950.0,11186.0,9860.0,7134.0,5869.0,290.0,202.0,"elecciones: Junio 2016. municipio: Córdoba. provincia: Córdoba. elecciones: Junio 2016. municipio: Córdoba. provincia: Córdoba. elecciones: Junio 2016. municipio: Córdoba. elecciones: Junio 2016. Resultados electorales de Junio 2016 en la sección 1402106023 del distrito 06 en el municipio de Córdoba de la provincia Córdoba. La participación electoral fue del 85.6%. El partido más votado fue el PP, el segundo fue el Cs, el tercero fue el UP, el cuarto fue el PSOE, y el quinto fue el PACMA .Contexto socioeconómico: Renta media por persona de 20207.0 euros, con un porcentaje de afiliados a la Seguridad Social respecto a la población del 14892.64%. Contexto demográfico: La sección tiene un porcentaje de mayores de 65 años del 26.9%, y un porcentaje de menores de 19 años del 16.8%. Perfil de voto: PP(71.75%), PSOE(7.45%), VOX(0.35%), Cs(10.05%), IU(0.00%), UP(9.19%).","Resultados electorales de Junio 2016 en la sección 1402106023 del distrito 06 en el municipio de Córdoba de la provincia Córdoba. La participación electoral fue del 85.6%. El partido más votado fue el PP, el segundo fue el Cs, el tercero fue el UP, el cuarto fue el PSOE, y el quinto fue el PACMA . Contexto socioeconómico: Renta media por persona de 20207.0 euros, con un porcentaje de afiliados a la Seguridad Social respecto a la población del 14892.64%. Contexto demográfico: La sección tiene un porcentaje de mayores de 65 años del 26.9%, y un porcentaje de menores de 19 años del 16.8%. Perfil de voto: PP(71.75%), PSOE(7.45%), VOX(0.35%), Cs(10.05%), IU(0.00%), UP(9.19%)."
150676,Junio 2016,022016061014109110006,01,41,41091,4109110006,Andalucía,Sevilla,Sevilla,10,830,627,0.7554217,7,620,2,618,85,290,60,170,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0.13709678,0.46774194,0.27419356,0.0,0.09677419,0.0,PSOE,UP,PP,Cs,Otros,1022,475,547,0.2553816,0.5772994,0.16731898,311528.0,0.11335418,304.82193,95344.0,0.43698606,0.47911772,0.23433414,8770.0,8691.0,23218.0,23284.0,5407.0,4899.0,3244.0,3321.0,352.0,380.0,"elecciones: Junio 2016. municipio: Sevilla. provincia: Sevilla. elecciones: Junio 2016. municipio: Sevilla. provincia: Sevilla. elecciones: Junio 2016. municipio: Sevilla. elecciones: Junio 2016. Resultados electorales de Junio 2016 en la sección 4109110006 del distrito 10 en el municipio de Sevilla de la provincia Sevilla. La participación electoral fue del 75.5%. El partido más votado fue el PSOE, el segundo fue el UP, el tercero fue el PP, el cuarto fue el Cs, y el quinto fue el Otros .Contexto socioeconómico: Renta media por persona de 8770.0 euros, con un porcentaje de afiliados a la Seguridad Social respecto a la población del 30482.19%. Contexto demográfico: La sección tiene un porcentaje de mayores de 65 años del 25.5%, y un porcentaje de menores de 19 años del 16.7%. Perfil de voto: PP(13.71%), PSOE(46.77%), VOX(0.00%), Cs(9.68%), IU(0.00%), UP(27.42%).","Resultados electorales de Junio 2016 en la sección 4109110006 del distrito 10 en el municipio de Sevilla de la provincia Sevilla. La participación electoral fue del 75.5%. El partido más votado fue el PSOE, el segundo fue el UP, el tercero fue el PP, el cuarto fue el Cs, y el quinto fue el Otros . Contexto socioeconómico: Renta media por persona de 8770.0 euros, con un porcentaje de afiliados a la Seguridad Social respecto a la población del 30482.19%. Contexto demográfico: La sección tiene un porcentaje de mayores de 65 años del 25.5%, y un porcentaje de menores de 19 años del 16.7%. Perfil de voto: PP(13.71%), PSOE(46.77%), VOX(0.00%), Cs(9.68%), IU(0.00%), UP(27.42%)."
159186,Junio 2016,022016061083422501003,08,34,34225,3422501003,Castilla y León,Palencia,Villamuriel De Cerrato,01,1315,960,0.73003805,11,949,11,938,269,259,166,213,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,0.28345627,0.27291885,0.22444679,0.0,0.17492098,0.0,PP,PSOE,UP,Cs,PACMA,1738,895,843,0.07825086,0.6818182,0.23993096,7593.0,0.04635849,4.368815,505.0,0.3960396,0.46138614,0.062361076,10859.0,10493.0,29135.0,28124.0,9934.0,9220.0,1561.0,1575.0,284.0,367.0,"elecciones: Junio 2016. municipio: Villamuriel De Cerrato. provincia: Palencia. elecciones: Junio 2016. municipio: Villamuriel De Cerrato. provincia: Palencia. elecciones: Junio 2016. municipio: Villamuriel De Cerrato. elecciones: Junio 2016. Resultados electorales de Junio 2016 en la sección 3422501003 del distrito 01 en el municipio de Villamuriel De Cerrato de la provincia Palencia. La participación electoral fue del 73.0%. El partido más votado fue el PP, el segundo fue el PSOE, el tercero fue el UP, el cuarto fue el Cs, y el quinto fue el PACMA .Contexto socioeconómico: Renta media por persona de 10859.0 euros, con un porcentaje de afiliados a la Seguridad Social respecto a la población del 436.88%. Contexto demográfico: La sección tiene un porcentaje de mayores de 65 años del 7.8%, y un porcentaje de menores de 19 años del 24.0%. Perfil de voto: PP(28.35%), PSOE(27.29%), VOX(0.00%), Cs(17.49%), IU(0.00%), UP(22.44%).","Resultados electorales de Junio 2016 en la sección 3422501003 del distrito 01 en el municipio de Villamuriel De Cerrato de la provincia Palencia. La participación electoral fue del 73.0%. El partido más votado fue el PP, el segundo fue el PSOE, el tercero fue el UP, el cuarto fue el Cs, y el quinto fue el PACMA . Contexto socioeconómico: Renta media por persona de 10859.0 euros, con un porcentaje de afiliados a la Seguridad Social respecto a la población del 436.88%. Contexto demográfico: La sección tiene un porcentaje de mayores de 65 años del 7.8%, y un porcentaje de menores de 19 años del 24.0%. Perfil de voto: PP(28.35%), PSOE(27.29%), VOX(0.00%), Cs(17.49%), IU(0.00%), UP(22.44%)."
111654,Diciembre 2015,022015121012106301002,01,21,21063,2106301002,Andalucía,Huelva,San Bartolomé De La Torre,01,1652,1301,0.78753024,4,1297,9,1288,216,816,94,123,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0.16653816,0.6291442,0.09483423,0.0,0.07247494,0.023130301,PSOE,PP,UP,Cs,IU,2249,1125,1124,0.1458426,0.65406847,0.20008893,1095.0,0.16894977,0.48688304,593.0,0.44856662,0.45193928,0.3513033,8816.0,8281.0,23661.0,22221.0,6424.0,5414.0,2283.0,2191.0,557.0,633.0,"elecciones: Diciembre 2015. municipio: San Bartolomé De La Torre. provincia: Huelva. elecciones: Diciembre 2015. municipio: San Bartolomé De La Torre. provincia: Huelva. elecciones: Diciembre 2015. municipio: San Bartolomé De La Torre. elecciones: Diciembre 2015. Resultados electorales de Diciembre 2015 en la sección 2106301002 del distrito 01 en el municipio de San Bartolomé De La Torre de la provincia Huelva. La participación electoral fue del 78.8%. El partido más votado fue el PSOE, el segundo fue el PP, el tercero fue el UP, el cuarto fue el Cs, y el quinto fue el IU .Contexto socioeconómico: Renta media por persona de 8816.0 euros, con un porcentaje de afiliados a la Seguridad Social respecto a la población del 48.69%. Contexto demográfico: La sección tiene un porcentaje de mayores de 65 años del 14.6%, y un porcentaje de menores de 19 años del 20.0%. Perfil de voto: PP(16.65%), PSOE(62.91%), VOX(0.00%), Cs(7.25%), IU(2.31%), UP(9.48%).","Resultados electorales de Diciembre 2015 en la sección 2106301002 del distrito 01 en el municipio de San Bartolomé De La Torre de la provincia Huelva. La participación electoral fue del 78.8%. El partido más votado fue el PSOE, el segundo fue el PP, el tercero fue el UP, el cuarto fue el Cs, y el quinto fue el IU . Contexto socioeconómico: Renta media por persona de 8816.0 euros, con un porcentaje de afiliados a la Seguridad Social respecto a la población del 48.69%. Contexto demográfico: La sección tiene un porcentaje de mayores de 65 años del 14.6%, y un porcentaje de menores de 19 años del 20.0%. Perfil de voto: PP(16.65%), PSOE(62.91%), VOX(0.00%), Cs(7.25%), IU(2.31%), UP(9.48%)."
